"","last_three_batter","Out","Batting Order","pitch_number","inning","home_team","p_throws","stand","game_type","events","player_name","game_date"
"85",0,0,4,11,1,"TOR","L","R","R","walk","Ray, Robbie","2021-09-30"
"82",0,1,5,16,1,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-30"
"76",0,0,6,19,2,"TOR","L","R","R","walk","Ray, Robbie","2021-09-30"
"74",0,1,7,25,2,"TOR","L","L","R","field_out","Ray, Robbie","2021-09-30"
"71",0,1,8,27,2,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-30"
"67",0,1,9,30,2,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-30"
"63",1,1,1,34,3,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-30"
"59",1,1,2,38,3,"TOR","L","L","R","field_out","Ray, Robbie","2021-09-30"
"53",1,1,3,42,3,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-30"
"50",1,1,4,48,4,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-30"
"45",1,1,5,51,4,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-30"
"40",1,1,6,56,4,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-30"
"33",1,1,7,61,5,"TOR","L","L","R","field_out","Ray, Robbie","2021-09-30"
"27",1,1,8,68,5,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-30"
"24",1,1,9,74,5,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-30"
"19",1,1,1,77,6,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-30"
"14",1,0,2,82,6,"TOR","L","L","R","home_run","Ray, Robbie","2021-09-30"
"11",0,0,3,87,6,"TOR","L","R","R","home_run","Ray, Robbie","2021-09-30"
"4",0,0,4,90,6,"TOR","L","R","R","walk","Ray, Robbie","2021-09-30"
"1",0,0,5,97,6,"TOR","L","R","R","home_run","Ray, Robbie","2021-09-30"
"184",0,1,4,15,1,"MIN","L","R","R","sac_fly","Ray, Robbie","2021-09-25"
"181",0,1,5,21,1,"MIN","L","R","R","field_out","Ray, Robbie","2021-09-25"
"176",0,0,6,24,2,"MIN","L","R","R","walk","Ray, Robbie","2021-09-25"
"172",0,1,7,29,2,"MIN","L","L","R","strikeout","Ray, Robbie","2021-09-25"
"167",0,1,8,33,2,"MIN","L","R","R","strikeout","Ray, Robbie","2021-09-25"
"164",0,0,9,38,2,"MIN","L","R","R","single","Ray, Robbie","2021-09-25"
"160",0,1,1,41,2,"MIN","L","R","R","field_out","Ray, Robbie","2021-09-25"
"159",0,1,2,45,3,"MIN","L","R","R","field_out","Ray, Robbie","2021-09-25"
"155",0,1,3,46,3,"MIN","L","R","R","field_out","Ray, Robbie","2021-09-25"
"149",1,1,4,50,3,"MIN","L","R","R","field_out","Ray, Robbie","2021-09-25"
"145",1,1,5,56,4,"MIN","L","R","R","strikeout","Ray, Robbie","2021-09-25"
"140",1,0,6,60,4,"MIN","L","R","R","walk","Ray, Robbie","2021-09-25"
"139",0,1,7,65,4,"MIN","L","L","R","grounded_into_double_play","Ray, Robbie","2021-09-25"
"135",0,1,8,66,5,"MIN","L","R","R","strikeout","Ray, Robbie","2021-09-25"
"133",0,1,9,70,5,"MIN","L","R","R","field_out","Ray, Robbie","2021-09-25"
"128",1,0,1,72,5,"MIN","L","R","R","walk","Ray, Robbie","2021-09-25"
"121",0,1,2,77,5,"MIN","L","R","R","field_out","Ray, Robbie","2021-09-25"
"116",0,0,3,84,6,"MIN","L","R","R","double","Ray, Robbie","2021-09-25"
"108",0,1,4,89,6,"MIN","L","R","R","strikeout","Ray, Robbie","2021-09-25"
"105",0,0,5,97,6,"MIN","L","R","R","hit_by_pitch","Ray, Robbie","2021-09-25"
"103",0,1,6,100,6,"MIN","L","R","R","field_out","Ray, Robbie","2021-09-25"
"101",0,1,7,102,6,"MIN","L","L","R","field_out","Ray, Robbie","2021-09-25"
"279",0,1,4,17,1,"TB","L","R","R","strikeout","Ray, Robbie","2021-09-20"
"276",1,1,5,23,2,"TB","L","R","R","strikeout","Ray, Robbie","2021-09-20"
"274",1,1,6,26,2,"TB","L","L","R","field_out","Ray, Robbie","2021-09-20"
"268",1,1,7,28,2,"TB","L","R","R","strikeout","Ray, Robbie","2021-09-20"
"265",1,1,8,34,3,"TB","L","R","R","strikeout","Ray, Robbie","2021-09-20"
"262",1,0,9,37,3,"TB","L","L","R","single","Ray, Robbie","2021-09-20"
"259",0,1,1,40,3,"TB","L","R","R","double_play","Ray, Robbie","2021-09-20"
"256",0,0,2,43,4,"TB","L","R","R","single","Ray, Robbie","2021-09-20"
"249",0,1,3,46,4,"TB","L","R","R","force_out","Ray, Robbie","2021-09-20"
"237",0,0,4,53,4,"TB","L","R","R","walk","Ray, Robbie","2021-09-20"
"230",0,0,5,65,4,"TB","L","R","R","walk","Ray, Robbie","2021-09-20"
"227",0,1,6,72,4,"TB","L","L","R","field_out","Ray, Robbie","2021-09-20"
"225",0,1,7,75,5,"TB","L","R","R","field_out","Ray, Robbie","2021-09-20"
"224",0,0,8,77,5,"TB","L","R","R","single","Ray, Robbie","2021-09-20"
"218",0,0,9,78,5,"TB","L","L","R","single","Ray, Robbie","2021-09-20"
"214",0,0,1,84,5,"TB","L","R","R","home_run","Ray, Robbie","2021-09-20"
"209",0,1,2,88,5,"TB","L","R","R","strikeout","Ray, Robbie","2021-09-20"
"205",0,0,3,93,5,"TB","L","R","R","double","Ray, Robbie","2021-09-20"
"385",1,0,4,16,2,"TOR","L","R","R","double","Ray, Robbie","2021-09-15"
"381",0,1,5,18,2,"TOR","L","L","R","strikeout","Ray, Robbie","2021-09-15"
"375",0,1,6,22,2,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-15"
"370",0,1,7,28,2,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-15"
"366",1,1,8,33,3,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-15"
"363",1,1,9,37,3,"TOR","L","L","R","strikeout","Ray, Robbie","2021-09-15"
"361",1,1,1,40,3,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-15"
"359",1,0,2,42,4,"TOR","L","R","R","double","Ray, Robbie","2021-09-15"
"355",0,1,3,44,4,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-15"
"353",0,1,4,48,4,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-15"
"348",0,1,5,50,4,"TOR","L","L","R","strikeout","Ray, Robbie","2021-09-15"
"341",1,0,6,55,5,"TOR","L","R","R","home_run","Ray, Robbie","2021-09-15"
"337",0,1,7,62,5,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-15"
"333",0,1,8,66,5,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-15"
"330",0,1,9,70,5,"TOR","L","L","R","field_out","Ray, Robbie","2021-09-15"
"326",1,1,1,73,6,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-15"
"321",1,1,2,77,6,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-15"
"316",1,1,3,82,6,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-15"
"313",1,1,4,87,7,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-15"
"312",1,0,5,90,7,"TOR","L","L","R","single","Ray, Robbie","2021-09-15"
"307",0,1,6,91,7,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-15"
"302",0,1,7,96,7,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-15"
"482",0,1,4,15,1,"BAL","L","R","R","strikeout","Ray, Robbie","2021-09-10"
"479",0,0,5,19,1,"BAL","L","R","R","home_run","Ray, Robbie","2021-09-10"
"476",0,0,6,22,1,"BAL","L","R","R","field_error","Ray, Robbie","2021-09-10"
"472",0,1,7,25,1,"BAL","L","R","R","stolen_base_2b","Ray, Robbie","2021-09-10"
"471",0,0,8,29,2,"BAL","L","R","R","triple","Ray, Robbie","2021-09-10"
"463",0,0,9,30,2,"BAL","L","R","R","walk","Ray, Robbie","2021-09-10"
"458",0,1,1,38,2,"BAL","L","R","R","strikeout","Ray, Robbie","2021-09-10"
"453",0,1,2,43,2,"BAL","L","L","R","strikeout","Ray, Robbie","2021-09-10"
"447",0,1,3,48,2,"BAL","L","R","R","field_out","Ray, Robbie","2021-09-10"
"444",1,1,4,54,3,"BAL","L","R","R","strikeout","Ray, Robbie","2021-09-10"
"441",1,0,5,57,3,"BAL","L","R","R","double","Ray, Robbie","2021-09-10"
"436",0,1,6,60,3,"BAL","L","R","R","strikeout","Ray, Robbie","2021-09-10"
"432",0,0,7,65,3,"BAL","L","R","R","walk","Ray, Robbie","2021-09-10"
"428",0,1,8,69,3,"BAL","L","R","R","field_out","Ray, Robbie","2021-09-10"
"423",0,1,9,73,4,"BAL","L","R","R","strikeout","Ray, Robbie","2021-09-10"
"417",0,0,1,78,4,"BAL","L","R","R","single","Ray, Robbie","2021-09-10"
"415",0,1,2,84,4,"BAL","L","L","R","field_out","Ray, Robbie","2021-09-10"
"411",0,0,3,86,5,"BAL","L","R","R","single","Ray, Robbie","2021-09-10"
"408",0,0,4,90,5,"BAL","L","R","R","single","Ray, Robbie","2021-09-10"
"403",0,1,5,93,5,"BAL","L","R","R","strikeout","Ray, Robbie","2021-09-10"
"593",0,1,4,10,1,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-05"
"590",0,1,5,15,2,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-05"
"588",0,1,6,18,2,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-05"
"582",1,1,7,20,2,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-05"
"577",1,1,8,26,3,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-05"
"573",1,1,9,31,3,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-05"
"568",1,1,1,35,3,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-05"
"565",1,1,2,40,4,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-05"
"561",1,1,3,43,4,"TOR","L","L","R","field_out","Ray, Robbie","2021-09-05"
"551",1,0,4,47,4,"TOR","L","R","R","walk","Ray, Robbie","2021-09-05"
"545",0,1,5,57,4,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-05"
"540",0,1,6,63,5,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-05"
"539",0,0,7,68,5,"TOR","L","R","R","double","Ray, Robbie","2021-09-05"
"534",0,1,8,69,5,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-05"
"529",0,1,9,74,5,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-05"
"526",0,1,1,79,6,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-05"
"525",1,1,2,82,6,"TOR","L","R","R","field_out","Ray, Robbie","2021-09-05"
"519",1,1,3,83,6,"TOR","L","L","R","field_out","Ray, Robbie","2021-09-05"
"516",1,1,4,89,7,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-05"
"510",1,0,5,92,7,"TOR","L","R","R","walk","Ray, Robbie","2021-09-05"
"501",0,1,6,98,7,"TOR","L","R","R","strikeout","Ray, Robbie","2021-09-05"
